x,y,w_right,w_left
-7.5113,-4.8361,2.0000,2.0000
-7.3857,-4.8390,2.0000,2.0000
-7.2600,-4.8400,2.0000,2.0000
-7.1343,-4.8390,2.0000,2.0000
-7.0087,-4.8361,2.0000,2.0000
-6.8831,-4.8311,2.0000,2.0000
-6.7577,-4.8242,2.0000,2.0000
-6.6323,-4.8153,2.0000,2.0000
-6.5071,-4.8045,2.0000,2.0000
-6.3821,-4.7917,2.0000,2.0000
-6.2573,-4.7769,2.0000,2.0000
-6.1328,-4.7602,2.0000,2.0000
-6.0085,-4.7415,2.0000,2.0000
-5.8846,-4.7209,2.0000,2.0000
-5.7609,-4.6983,2.0000,2.0000
-5.6377,-4.6738,2.0000,2.0000
-5.5149,-4.6473,2.0000,2.0000
-5.3924,-4.6190,2.0000,2.0000
-5.2705,-4.5887,2.0000,2.0000
-5.1490,-4.5565,2.0000,2.0000
-5.0281,-4.5223,2.0000,2.0000
-4.9077,-4.4863,2.0000,2.0000
-4.7879,-4.4485,2.0000,2.0000
-4.6687,-4.4087,2.0000,2.0000
-4.5501,-4.3670,2.0000,2.0000
-4.4322,-4.3236,2.0000,2.0000
-4.3150,-4.2782,2.0000,2.0000
-4.1985,-4.2310,2.0000,2.0000
-4.0828,-4.1820,2.0000,2.0000
-3.9679,-4.1312,2.0000,2.0000
-3.8538,-4.0786,2.0000,2.0000
-3.7405,-4.0242,2.0000,2.0000
-3.6281,-3.9681,2.0000,2.0000
-3.5166,-3.9101,2.0000,2.0000
-3.4060,-3.8505,2.0000,2.0000
-3.2963,-3.7891,2.0000,2.0000
-3.1877,-3.7259,2.0000,2.0000
-3.0800,-3.6611,2.0000,2.0000
-2.9734,-3.5946,2.0000,2.0000
-2.8678,-3.5265,2.0000,2.0000
-2.7633,-3.4566,2.0000,2.0000
-2.6600,-3.3852,2.0000,2.0000
-2.5577,-3.3121,2.0000,2.0000
-2.4566,-3.2375,2.0000,2.0000
-2.3567,-3.1612,2.0000,2.0000
-2.2581,-3.0834,2.0000,2.0000
-2.1606,-3.0041,2.0000,2.0000
-2.0644,-2.9232,2.0000,2.0000
-1.9695,-2.8409,2.0000,2.0000
-1.8759,-2.7570,2.0000,2.0000
-1.7836,-2.6717,2.0000,2.0000
-1.6927,-2.5850,2.0000,2.0000
-1.6031,-2.4969,2.0000,2.0000
-1.5150,-2.4073,2.0000,2.0000
-1.4283,-2.3164,2.0000,2.0000
-1.3430,-2.2241,2.0000,2.0000
-1.2591,-2.1305,2.0000,2.0000
-1.1768,-2.0356,2.0000,2.0000
-1.0959,-1.9394,2.0000,2.0000
-1.0166,-1.8419,2.0000,2.0000
-0.9388,-1.7433,2.0000,2.0000
-0.8625,-1.6434,2.0000,2.0000
