x,y,w_right,w_left
9.2800,5.0600,0.8100,0.8100
9.2700,5.0600,0.8100,0.8100
9.2600,5.0600,0.8100,0.8100
9.2500,5.0600,0.8100,0.8100
9.2400,5.0600,0.8100,0.8100
9.2300,5.0600,0.8100,0.8100
9.2200,5.0600,0.8100,0.8100
9.2100,5.0600,0.8100,0.8100
9.2000,5.0600,0.8100,0.8100
9.1900,5.0600,0.8100,0.8100
9.1800,5.0600,0.8100,0.8100
9.1700,5.0600,0.8100,0.8100
9.1600,5.0600,0.8100,0.8100
9.1500,5.0600,0.8100,0.8100
9.1400,5.0600,0.8100,0.8100
9.1300,5.0600,0.8100,0.8100
9.1200,5.0600,0.8100,0.8100
9.1100,5.0600,0.8100,0.8100
9.1000,5.0600,0.8100,0.8100
9.0900,5.0600,0.8100,0.8100
9.0800,5.0600,0.8100,0.8100
9.0700,5.0700,0.8200,0.8200
9.0600,5.0700,0.8200,0.8200
9.0500,5.0700,0.8200,0.8200
9.0400,5.0700,0.8192,0.8192
9.0300,5.0700,0.8179,0.8179
9.0200,5.0700,0.8166,0.8166
9.0100,5.0700,0.8155,0.8155
9.0000,5.0700,0.8144,0.8144
8.9900,5.0700,0.8135,0.8135
8.9800,5.0700,0.8127,0.8127
8.9700,5.0700,0.8120,0.8120
8.9600,5.0700,0.8114,0.8114
8.9500,5.0700,0.8109,0.8109
8.9400,5.0700,0.8105,0.8105
8.9300,5.0700,0.8102,0.8102
8.9200,5.0700,0.8101,0.8101
8.9100,5.0700,0.8100,0.8100
8.9000,5.0700,0.8100,0.8100
8.8900,5.0700,0.8100,0.8100
8.8800,5.0700,0.8100,0.8100
8.8700,5.0700,0.8100,0.8100
8.8600,5.0700,0.8100,0.8100
8.8500,5.0700,0.8100,0.8100
8.8400,5.0700,0.8100,0.8100
8.8300,5.0700,0.8100,0.8100
8.8200,5.0700,0.8100,0.8100
8.8100,5.0700,0.8100,0.8100
8.8000,5.0700,0.8100,0.8100
8.7900,5.0700,0.8100,0.8100
8.7800,5.0700,0.8100,0.8100
8.7700,5.0700,0.8100,0.8100
8.7600,5.0700,0.8100,0.8100
8.7500,5.0700,0.8100,0.8100
8.7400,5.0700,0.8100,0.8100
8.7300,5.0700,0.8100,0.8100
8.7200,5.0700,0.8100,0.8100
8.7100,5.0700,0.8100,0.8100
8.7000,5.0700,0.8100,0.8100
8.6900,5.0700,0.8100,0.8100
8.6800,5.0700,0.8100,0.8100
8.6700,5.0700,0.8101,0.8101
8.6600,5.0700,0.8102,0.8102
8.6500,5.0700,0.8105,0.8105
8.6400,5.0600,0.8009,0.8009
8.6300,5.0600,0.8014,0.8014
8.6200,5.0600,0.8020,0.8020
8.6100,5.0600,0.8027,0.8027
8.6000,5.0600,0.8035,0.8035
8.5900,5.0600,0.8045,0.8045
8.5800,5.0600,0.8055,0.8055
8.5700,5.0600,0.8067,0.8067
8.5600,5.0600,0.8080,0.8080
8.5500,5.0600,0.8093,0.8093
8.5400,5.0600,0.8108,0.8108
8.5300,5.0600,0.8124,0.8124
8.5200,5.0600,0.8141,0.8141
8.5100,5.0600,0.8159,0.8159
8.5000,5.0600,0.8178,0.8178
8.4900,5.0600,0.8198,0.8198
8.4800,5.0600,0.8220,0.8220
8.4700,5.0600,0.8242,0.8242
8.4600,5.0600,0.8265,0.8265
8.4500,5.0500,0.8192,0.8192
8.4400,5.0500,0.8218,0.8218
8.4300,5.0500,0.8244,0.8244
8.4200,5.0500,0.8272,0.8272
8.4100,5.0500,0.8300,0.8300
8.4000,5.0500,0.8300,0.8300
8.3900,5.0500,0.8300,0.8300
8.3800,5.0500,0.8300,0.8300
8.3700,5.0500,0.8301,0.8301
8.3600,5.0500,0.8302,0.8302
8.3500,5.0500,0.8305,0.8305
8.3400,5.0500,0.8309,0.8309
8.3300,5.0500,0.8313,0.8313
8.3200,5.0500,0.8319,0.8319
8.3100,5.0400,0.8227,0.8227
8.3000,5.0400,0.8235,0.8235
