# x_m,y_m,w_tr_right_m,w_tr_left_m
-10.7900,4.1300,0.7700,0.7700
-10.8000,4.1300,0.7700,0.7700
-10.8100,4.1300,0.7700,0.7700
-10.8200,4.1300,0.7700,0.7700
-10.8300,4.1300,0.7700,0.7700
-10.8400,4.1200,0.7600,0.7600
-10.8500,4.1200,0.7600,0.7600
-10.8600,4.1200,0.7599,0.7599
-10.8700,4.1200,0.7584,0.7584
-10.8800,4.1200,0.7571,0.7571
-10.8900,4.1200,0.7559,0.7559
-10.9000,4.1200,0.7548,0.7548
-10.9100,4.1200,0.7538,0.7538
-10.9200,4.1200,0.7529,0.7529
-10.9300,4.1200,0.7521,0.7521
-10.9400,4.1200,0.7515,0.7515
-10.9500,4.1200,0.7509,0.7509
-10.9600,4.1200,0.7505,0.7505
-10.9700,4.1200,0.7502,0.7502
-10.9800,4.1200,0.7501,0.7501
-10.9900,4.1100,0.7400,0.7400
-11.0000,4.1100,0.7400,0.7400
-11.0100,4.1100,0.7400,0.7400
-11.0200,4.1100,0.7400,0.7400
-11.0300,4.1100,0.7400,0.7400
-11.0400,4.1100,0.7400,0.7400
-11.0500,4.1100,0.7400,0.7400
-11.0600,4.1100,0.7400,0.7400
-11.0700,4.1100,0.7400,0.7400
-11.0800,4.1100,0.7400,0.7400
-11.0900,4.1100,0.7400,0.7400
-11.1000,4.1100,0.7400,0.7400
-11.1100,4.1100,0.7400,0.7400
-11.1200,4.1100,0.7400,0.7400
-11.1300,4.1000,0.7300,0.7300
-11.1400,4.1000,0.7300,0.7300
-11.1500,4.1000,0.7300,0.7300
-11.1600,4.1000,0.7300,0.7300
-11.1700,4.1000,0.7301,0.7301
-11.1800,4.1000,0.7302,0.7302
-11.1900,4.1000,0.7305,0.7305
-11.2000,4.1000,0.7310,0.7310
-11.2100,4.1000,0.7315,0.7315
-11.2200,4.1000,0.7322,0.7322
-11.2300,4.1000,0.7329,0.7329
-11.2400,4.1000,0.7338,0.7338
-11.2500,4.1000,0.7349,0.7349
-11.2600,4.1000,0.7360,0.7360
-11.2700,4.0900,0.7273,0.7273
-11.2800,4.0900,0.7287,0.7287
-11.2900,4.0900,0.7302,0.7302
-11.3000,4.0900,0.7319,0.7319
-11.3100,4.0900,0.7336,0.7336
-11.3200,4.0900,0.7355,0.7355
-11.3300,4.0900,0.7374,0.7374
-11.3400,4.0900,0.7395,0.7395
-11.3500,4.0900,0.7417,0.7417
-11.3600,4.0900,0.7440,0.7440
-11.3700,4.0900,0.7465,0.7465
-11.3800,4.0900,0.7490,0.7490
-11.3900,4.0900,0.7516,0.7516
-11.4000,4.0900,0.7544,0.7544
-11.4100,4.0800,0.7477,0.7477
-11.4200,4.0800,0.7507,0.7507
-11.4300,4.0800,0.7538,0.7538
-11.4400,4.0800,0.7570,0.7570
-11.4500,4.0800,0.7603,0.7603
-11.4600,4.0800,0.7638,0.7638
-11.4700,4.0800,0.7658,0.7658
-11.4800,4.0800,0.7670,0.7670
-11.4900,4.0800,0.7683,0.7683
-11.5000,4.0800,0.7698,0.7698
-11.5100,4.0800,0.7713,0.7713
-11.5200,4.0800,0.7730,0.7730
-11.5300,4.0800,0.7748,0.7748
-11.5400,4.0800,0.7766,0.7766
-11.5500,4.0800,0.7786,0.7786
-11.5600,4.0700,0.7710,0.7710
-11.5700,4.0700,0.7732,0.7732
-11.5800,4.0700,0.7756,0.7756
-11.5900,4.0700,0.7780,0.7780
-11.6000,4.0700,0.7806,0.7806
-11.6100,4.0700,0.7832,0.7832
-11.6200,4.0700,0.7860,0.7860
-11.6300,4.0700,0.7889,0.7889
-11.6400,4.0700,0.7919,0.7919
-11.6500,4.0700,0.7949,0.7949
-11.6600,4.0600,0.7877,0.7877
-11.6700,4.0600,0.7896,0.7896
-11.6800,4.0600,0.7911,0.7911
-11.6900,4.0600,0.7927,0.7927
-11.7000,4.0600,0.7944,0.7944
-11.7100,4.0600,0.7963,0.7963
-11.7200,4.0600,0.7963,0.7963
-11.7300,4.0600,0.7944,0.7944
-11.7400,4.0600,0.7927,0.7927
-11.7500,4.0600,0.7911,0.7911
-11.7600,4.0600,0.7896,0.7896
-11.7700,4.0500,0.7981,0.7981
-11.7800,4.0500,0.7968,0.7968
-11.7900,4.0500,0.7956,0.7956
